"id","city_id","country_code","country_id","country_name_en","country_name_ru","name_en","name_ru","parent_id","pretty_slug","type","slug"
6 308 041,6 308 041,R,153,Russia,Россия,Chekhov,Чезов,6 288 454,chekhov_moscow_oblast,City,moscow_oblast_chekhov
6 308 042,6 308 042,R,153,Russia,Россия,Naro-Fominsk,Наро-Фоминск,6 288 454,naro-fominsk_moscow_oblast,City,moscow_oblast_naro-fominsk
6 308 043,6 308 043,R,153,Russia,Россия,Vereya,Верея,6 288 454,vereya_moscow_oblast,City,moscow_oblast_vereya
6 308 049,6 308 049,R,153,Russia,Россия,Taldom,Талдом,6 288 454,taldom,City,taldom
6 308 173,6 308 173,R,153,Russia,Россия,Sortavala,Сортавала,6 288 355,sortavala_republic_of_karelia,City,republic_of_karelia_sortavala
6 308 197,6 308 197,R,153,Russia,Россия,Alpatyevo,Алпатьево,6 288 454,alpatyevo,City,alpatyevo
6 308 459,6 308 459,R,153,Russia,Россия,Peski,Пески,6 288 454,peski,City,peski
6 308 469,6 308 469,R,153,Russia,Россия,Barybino,Барыбино,6 288 454,barybino,City,barybino
6 308 470,6 308 470,R,153,Russia,Россия,Privalovo,Привалово,6 288 454,privalovo,City,privalovo
6 308 472,6 308 472,R,153,Russia,Россия,Stolbovaya,Столбовая,6 288 454,stolbovaya,City,stolbovaya
6 308 475,6 308 475,R,153,Russia,Россия,Golitsyno,Голицыно,6 288 454,golitsyno,City,golitsyno
6 308 479,6 308 479,R,153,Russia,Россия,Tuchkovo,Тучково,6 288 454,tuchkovo,City,tuchkovo
6 308 498,6 308 498,R,153,Russia,Россия,Povarovo,Поварово,6 288 454,povarovo,City,povarovo
6 308 585,6 308 585,R,153,Russia,Россия,Belaya Gora,Белая Гора,6 288 519,belaya_gora,City,belaya_gora
6 308 846,6 308 846,R,153,Russia,Россия,Liman,Лиман,6 288 308,liman,City,liman
6 308 848,6 308 848,R,153,Russia,Россия,Oranzherei,Oranzherei,6 288 308,oranzherei_astrakhan_oblast,City,southern_russia_oranzherei
6 308 856,6 308 856,R,153,Russia,Россия,Selitrennoye,Selitrennoye,6 288 308,selitrennoye,City,selitrennoye
6 308 860,6 308 860,R,153,Russia,Россия,Kamen-na-Obi,Камень-на-Оби,6 288 304,kamen-na-obi,City,kamen-na-obi
6 308 862,6 308 862,R,153,Russia,Россия,Rubtsovsk,Рубцовск,6 288 304,rubtsovsk,City,rubtsovsk
6 308 864,6 308 864,R,153,Russia,Россия,Zmeinogorsk,Змеиногорск,6 288 304,zmeinogorsk,City,zmeinogorsk
6 308 866,6 308 866,R,153,Russia,Россия,Belogorsk,Белогорск,6 288 306,belogorsk,City,belogorsk
6 308 867,6 308 867,R,153,Russia,Россия,Seryshevo,Серышево,6 288 306,seryshevo,City,seryshevo
6 308 868,6 308 868,R,153,Russia,Россия,Shimanovsk,Шимановск,6 288 306,shimanovsk,City,shimanovsk
6 308 869,6 308 869,R,153,Russia,Россия,Zeya,Зея,6 288 306,zeya,City,zeya
6 308 874,6 308 874,R,153,Russia,Россия,Shenkursk,Шенкурск,6 288 307,shenkursk_arkhangelsk_oblast,City,arkhangelsk_oblast_shenkursk
