298	['acm_hotel', 'city', 'contacts_site', 'geo_oblast']	0.024%	мариотте отель москва тверская официальный сайт	14
299	['city', 'country', 'date_month', 'date_year']	0.024%	турция кемер погода в октябре 2015	4
300	['acm_gost', 'city', 'poi_station', 'space_near']	0.024%	гостиница в нижнем новгороде возле жд вокзала	2
301	['acm_obj', 'price']	0.024%	санаторий в ундорах цены	6
302	['city', 'geo_rayon']	0.024%	дом бенуа санкт-петербург район	1
303	['acm_gost', 'amn_basin', 'city']	0.023%	гостиницы в сочи с бассейном с морской водой	2
304	['acm_hostel', 'acm_hostel_popular', 'city']	0.023%	друзья на грибоедова хостел санкт-петербург	2
305	['acm_gost', 'city_city', 'geo_oblast']	0.023%	гостиница в городе гагарин смоленской области	1
306	['city', 'geo_oblast', 'price', 'tickets']	0.023%	красноярск-москва жд билеты цена	2
307	['country', 'price']	0.023%	путешествие в египет цены	2
308	['city', 'date_month', 'date_year', 'tour']	0.023%	туры в шарм эль шейх в октябре 2015 из москвы	2
309	['acm_hotel_popular', 'acm_hotels_popular']	0.023%	холидей инн сущевский	10
310	['acm_apart_en', 'acm_hotel_en']	0.022%	The Front Hotel and Apartments	3
311	['acm_hotel_en', 'city', 'reviews']	0.022%	familia hotel париж отзывы	1
312	['acm_gost', 'city', 'contacts_site', 'price']	0.022%	гостиница татьяна москва официальный сайт цены	4
313	['poi_metro', 'poi_metro_station_spb']	0.022%	пушкинский музей метро	2
314	['acm_hotel', 'city_city']	0.022%	город сегежа отель городовой	2
315	[' amn_aquapark', 'acm_hotel', 'city']	0.022%	хургада отели с аквапарком макади бей	12
316	['acm_gost', 'city', 'rating']	0.022%	гостиницы москвы список с адресами	11
317	['acm_hotel', 'poi_street_popular']	0.022%	отели ростова ул соколова 43	2
318	['acm_gost', 'city', 'price_expensive']	0.021%	самые дорогие гостиницы москвы	8
319	['amn_spa']	0.021%	трускавец хижина спа	2
320	['acm_obj', 'city', 'reviews']	0.021%	санаторий голубая даль геленджик отзывы	3
321	['city_city']	0.021%	haus am meer в городе ховахт	1
322	['acm_gost_popular', 'acm_hotel']	0.021%	отели цахкадзор националь	1
323	['acm_gost', 'geo_oblast', 'poi_street_popular']	0.021%	гостиницы в омске по ул яковлева	2
324	['acm_hotel_en', 'resort_en']	0.021%	Dolphin Resort Hotel & Conference	3
325	['city', 'transport_plane']	0.021%	прибытие самолетов из москвы в новокузнецк	1
