149	['acm_gost', 'geo_rayon', 'poi_metro', 'poi_metro_station']	0.037%	гостиница в районе метро коньково	3
150	['acm_gost', 'city', 'reviews']	0.036%	муром гостиницы отзывы	2
151	['acm_hotel', 'city', 'geo_oblast']	0.036%	отели в зеленоградске калининградской области	5
152	['acm_gost', 'geo_admin_okrug']	0.036%	гостиницы ювао	5
153	['acm_gost', 'city', 'poi_avenue']	0.036%	гостиницы санкт-петербурга на невском	3
154	['acm_gost', 'city', 'poi_metro', 'space_near']	0.035%	гостиницы москвы рядом с метро	7
155	['acm_gost', 'date_year', 'geo_oblast', 'price']	0.035%	гостиницы иркутска цены 2015	20
156	['acm_hotel', 'peninsula']	0.035%	отели крыма	16
157	['acm_gost', 'acm_hostel', 'city']	0.034%	гостиница хостел в оренбурге	2
158	['city', 'date_month']	0.034%	нижний новгород в ноябре	2
159	['acm_gost', 'geo_oblast', 'rating']	0.034%	гостиницы челябинска список	22
160	['acm_gost', 'poi_metro_station', 'space_near']	0.034%	гостиницы рядом с вднх	5
161	['acm_hotel', 'poi_metro', 'poi_metro_station_spb']	0.034%	отель метро академическая	4
162	['acm_hostel', 'city', 'map']	0.034%	хостелы москвы на карте	2
163	['acm_gost', 'city', 'poi_metro', 'poi_metro_station_spb', 'space_near']	0.034%	гостиницы около метро академическая москва	3
164	['acm_gost', 'poi_metro_station', 'price']	0.034%	гостиница на бабушкинской и цены	2
165	['action_stay', 'city', 'wh_where']	0.033%	где остановиться в сочи	5
166	['acm_gost', 'acm_gost_popular', 'city', 'price']	0.033%	витебск гостиницы эконом цены	3
167	['action_visit', 'city', 'date_month', 'wh_where_direction']	0.033%	куда сходить в сочи в октябре	4
168	['acm_gost', 'action2book', 'city', 'price_cheap']	0.032%	забронировать гостиницу в минске недорого	3
169	['city', 'date_month', 'date_year', 'tour']	0.032%	туры в шарм эль шейх на ноябрь 2015	8
170	['acm_hotel', 'amn_beach', 'city']	0.032%	отели сочи с собственным пляжем	4
171	['city', 'poi_metro', 'poi_metro_station']	0.031%	аэропорт внуково до метро юго-западная	2
172	['acm_gost', 'city', 'contacts_site', 'country']	0.031%	гостиница украина симферополь официальный сайт	7
173	['acm_gost', 'acm_obj_part', 'city', 'price']	0.031%	номер в гостинице москва цена	1
174	['acm_gost', 'city', 'geo_rayon', 'poi_metro_station']	0.030%	гостиницы в районе вднх москва	3
175	['acm_hotel_popular', 'city']	0.030%	ривьера сочи	4
176	['action_see', 'city', 'time_season', 'wh_what']	0.030%	сочи зимой что посмотреть	5
177	['action_reach', 'city', 'poi_metro', 'wh_how']	0.029%	внуково как добраться на метро	12
178	['acm_gost', 'city', 'econom_class', 'price']	0.029%	казань гостиницы эконом класса цены	5
179	['acm_hotels_popular', 'city']	0.029%	парк отель оренбург	3
180	['acm_gost', 'city', 'geo_rayon', 'poi_station']	0.029%	гостиницы в районе ярославского вокзала в москве	4
181	['action_stay', 'city', 'price_cheap', 'wh_where']	0.028%	где недорого остановиться в санкт-петербурге	2
182	['acm_gost', 'geo_oblast', 'poi_metro']	0.028%	гостиница метро калужская	3
183	['acm_hotel', 'city', 'poi_olympic_park']	0.028%	отели в олимпийском парке сочи	5
184	['acm_gost', 'poi_metro_station', 'price_cheap']	0.028%	гостиница на вднх дешево	3
185	['acm_hotel', 'country', 'price']	0.028%	цены на отели в армении	2
186	['acm_hotel', 'amn_all_inclusive', 'city', 'stars_5']	0.028%	анапа отели 5 звезд все включено	3
187	['acm_gost', 'price_cheap']	0.027%	дешевые гостиницы	11
188	['acm_hotel', 'city', 'country', 'map']	0.027%	египет карта отелей хургады	2
189	['acm_gost', 'city', 'city_city', 'price_cheap']	0.027%	дешевые гостиницы города елабуги	2
190	['acm_gost', 'city', 'poi_metro_station', 'poi_metro_station_spb']	0.027%	гостиницы на ленинском проспекте в москве	4
191	['city', 'country', 'hot', 'price', 'tour']	0.027%	тур в египет хургада цены горящий тур	15
192	['acm_hotel', 'geo_uts']	0.027%	витязево отели	7
193	['acm_gost', 'acm_hotel', 'city', 'price']	0.027%	питер отели и гостиницы цены	4
194	['city', 'poi_metro']	0.027%	шереметьево станция метро	4
195	['acm_hotel', 'city', 'poi_metro_station', 'space_near']	0.026%	йошкар ола отель рядом с аэропортом	2
196	['city', 'price', 'transport_train']	0.026%	цена на поезд новокузнецк москва	1
197	['acm_gost', 'acm_hotel_popular', 'city', 'contacts_site']	0.026%	гостиница классик санкт-петербург официальный сайт	4
198	['acm_gost', 'city', 'date_year', 'price_cheap']	0.026%	гостиницы в симферополе недорого 2015	6
199	['city', 'poi_metro_station_spb']	0.026%	гостиный двор кохма	15
200	['acm_hotel', 'city', 'poi_metro', 'poi_metro_station']	0.026%	москва отели метро комсомольска	2
201	['acm_hotel', 'city', 'stars_2']	0.025%	отели 2 звезды в хельсинки	2
202	['acm_hostel', 'city', 'poi_metro', 'poi_metro_station', 'space_near']	0.025%	хостелы в москве рядом с метро новые черемушки	3
203	['acm_minigost', 'city']	0.025%	минигостиницы севастополя	4
204	['action_reach', 'poi_metro', 'poi_metro_station', 'wh_how']	0.025%	как доехать до вднх на метро	6
205	['acm_gost', 'acm_obj', 'city', 'date_year', 'price']	0.025%	домбай гостиницы базы отдыха цены 2015	23
206	['acm_gost', 'city', 'stars_3']	0.025%	гостиницы пхукета 3 звезды	3
207	['acm_hostel', 'geo_oblast', 'price']	0.024%	хостел челябинск цены	5
208	['acm_gost', 'poi_station']	0.024%	гостиница казанский вокзал	3
209	['acm_gost', 'city', 'space_near']	0.024%	гостиницы в москве около	3
210	['acm_gost', 'city', 'geo_oblast', 'poi_metro']	0.023%	гостиница москва станция метро калужская	2
211	['acm_hotel', 'city', 'poi_centre', 'stars_3']	0.023%	отели в праге 3 звезды в центре	4
212	[' amn_aquapark', 'acm_hotel', 'city']	0.023%	отели коктебеля с аквапарком	1
213	['acm_hotel', 'amn_all_inclusive', 'city']	0.023%	отели пицунды все включено	2
214	['acm_gost', 'city', 'poi_centre', 'poi_metro', 'space_near']	0.023%	гостиницы в центре москвы рядом с метро	17
215	['acm_obj', 'city', 'contacts_site', 'country']	0.023%	джермук армения санаторий официальный сайт	18
216	['acm_gost', 'city', 'photo']	0.022%	гостиница санкт-петербург фото	2
217	['acm_gost', 'city', 'geo_rayon', 'poi_metro', 'poi_metro_station_spb']	0.022%	гостиницы в районе метро академическая в москве	2
218	['acm_acm', 'acm_gost', 'city', 'price']	0.022%	цены на проживание в гостиницах екатеринбурге	2
219	['acm_gost', 'city', 'poi_metro', 'poi_metro_station', 'price_cheap', 'space_near']	0.022%	гостиницы в москве недорого рядом с метро киевская	2
220	['acm_hostel', 'city', 'geo_oblast']	0.022%	хостел москва тверская	2
221	['acm_gost', 'geo_oblast', 'poi_centre']	0.022%	смоленск гостиницы в центре	5
222	['hot']	0.022%	горячие путевки	15
223	['country', 'date_year', 'price', 'time_season', 'tour']	0.022%	туры в грецию лето 2015 цены	21
224	['acm_hotel', 'city', 'poi_olympic_park', 'space_near']	0.021%	отели в сочи рядом с олимпийским парком	5
